,Team,Points3,Experience,Salary,Points2,Points1,Total Points,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Efficiency
1,ATL,660,93.40559,93.405591,2337,1453,8107,832,2676,1846,645,381,1201,1432,292.0340902
2,BOS,985,91.91509,91.915088,2183,1536,8857,744,2698,2069,617,340,1037,1686,271.8134579
3,BRK,777,76.21567,76.215674,2040,1444,7855,689,2697,1664,568,382,1212,1620,322.1206238
4,CHI,565,92.50189,92.501887,2162,1330,7349,865,2419,1746,605,339,956,1275,274.641713
5,CHO,808,88.50477,88.504773,2089,1497,8099,621,2615,1806,543,316,820,1177,270.3153058
6,CLE,1030,127.25458,127.254579,2148,1384,8770,735,2673,1779,483,304,1020,1356,333.1866888
7,DAL,712,92.8283,92.8283,1754,1007,6651,521,2063,1183,507,257,674,1229,285.7272402
8,DEN,868,79.02822,79.028222,2351,1477,8783,872,2660,2015,543,286,1102,1475,309.3402759
9,DET,631,103.07449,103.074487,2638,1140,8309,908,2838,1732,574,310,932,1467,270.5206462
10,GSW,982,100.24256,100.242565,2545,1455,9491,770,2869,2486,782,554,1179,1581,292.7861585
11,HOU,1140,87.39233,87.392332,2011,1623,9065,857,2608,1969,617,331,1113,1473,300.8000046
12,IND,709,92.62084,92.620837,2512,1467,8618,742,2702,1844,669,409,1087,1597,276.2582764
13,LAC,841,114.77662,114.77662,2401,1586,8911,738,2790,1848,612,347,1022,1626,271.0821263
14,LAL,582,85.12544,85.12544,2069,1021,6905,789,2213,1334,510,267,972,1444,258.4659997
15,MEM,757,108.94584,108.945842,2176,1489,8112,880,2582,1725,629,335,993,1798,288.3657275
16,MIA,799,72.94438,72.944376,2349,1217,8312,856,2648,1728,579,464,1019,1647,301.1723195
17,MIL,720,104.64657,104.646574,2462,1413,8497,723,2589,1984,666,436,1096,1660,298.7986908
18,MIN,599,59.87827,59.878274,2607,1580,8591,932,2516,1924,641,368,1085,1620,260.0744817
19,NOP,519,94.03547,94.035475,1956,1128,6597,580,2248,1531,502,380,828,1168,321.4073177
20,NYK,636,97.10692,97.106917,2445,1262,8060,962,2592,1499,526,451,975,1584,273.8031196
21,OKC,611,86.98136,86.981364,2380,1511,8104,936,2628,1610,595,395,1133,1561,279.095129
22,ORL,618,104.11034,104.110336,2178,1232,7442,707,2452,1760,546,305,987,1445,270.7098777
23,PHI,718,56.29336,56.293357,1960,1225,7299,690,2354,1816,613,375,1197,1573,338.4627165
24,PHO,569,73.28258,73.282578,2554,1615,8430,882,2464,1531,588,385,1171,1887,296.2003412
25,POR,847,102.48876,102.488763,2148,1386,8223,706,2428,1508,522,342,978,1581,264.6655539
26,SAC,562,88.2772,88.277202,1838,998,6360,525,1876,1402,506,232,850,1303,295.7526324
27,SAS,753,105.39553,105.395531,2469,1440,8637,821,2777,1954,655,484,1057,1498,268.4383243
28,TOR,626,108.45847,108.458469,2359,1570,8166,847,2535,1469,620,379,932,1609,288.6522772
29,UTA,791,80.32319,80.323193,2242,1401,8258,771,2774,1651,550,410,1060,1545,272.0747599
30,WAS,718,100.78591,100.785911,2526,1368,8574,806,2564,1893,655,325,1062,1643,268.5099202
NULL,,,,,,,,,,,,,,,